tissue,experiment,model,pearson,spearman
297,h3k9me3,GRT,0.468,0.461
297,h3k9me3,Borzoi,0.48,0.448
297,h3k27ac,GRT,0.736,0.343
297,h3k27ac,Borzoi,0.74,0.234
297,h3k27me3,GRT,0.448,0.377
297,h3k27me3,Borzoi,0.414,0.324
297,ctcf,GRT,0.783,0.231
297,ctcf,Borzoi,0.821,0.241
297,rna_total_plus,GRT,0.742,0.498
297,rna_total_plus,Borzoi,0.733,0.494
297,rna_total_minus,GRT,0.687,0.469
297,rna_total_minus,Borzoi,0.731,0.475
325,h3k4me1,GRT,0.583,0.463
325,h3k4me1,Borzoi,0.677,0.51
325,h3k4me3,GRT,0.8,0.176
325,h3k4me3,Borzoi,0.829,0.191
325,h3k9me3,GRT,0.193,0.173
325,h3k9me3,Borzoi,0.21,0.183
325,h3k27ac,GRT,0.557,0.358
325,h3k27ac,Borzoi,0.641,0.394
325,h3k27me3,GRT,0.289,0.245
325,h3k27me3,Borzoi,0.339,0.308
325,h3k36me3,GRT,0.567,0.391
325,h3k36me3,Borzoi,0.598,0.42
325,ctcf,GRT,0.732,0.213
325,ctcf,Borzoi,0.757,0.124
325,rna_total_plus,GRT,0.68,0.491
325,rna_total_plus,Borzoi,0.703,0.497
325,rna_total_minus,GRT,0.69,0.443
325,rna_total_minus,Borzoi,0.722,0.446
329,dnase,GRT,0.524,0.482
329,dnase,Borzoi,0.572,0.48
329,h3k4me1,GRT,0.498,0.379
329,h3k4me1,Borzoi,0.533,0.393
329,h3k9me3,GRT,0.378,0.353
329,h3k9me3,Borzoi,0.384,0.371
329,h3k27ac,GRT,0.575,0.378
329,h3k27ac,Borzoi,0.593,0.389
329,h3k27me3,GRT,0.328,0.259
329,h3k27me3,Borzoi,0.313,0.251
329,h3k36me3,GRT,0.57,0.354
329,h3k36me3,Borzoi,0.512,0.329
329,ctcf,GRT,0.694,0.264
329,ctcf,Borzoi,0.759,0.302
329,rna_total_plus,GRT,0.705,0.503
329,rna_total_plus,Borzoi,0.716,0.512
329,rna_total_minus,GRT,0.708,0.466
329,rna_total_minus,Borzoi,0.726,0.466
346,dnase,GRT,0.773,0.717
346,dnase,Borzoi,0.651,0.712
346,h3k4me1,GRT,0.664,0.483
346,h3k4me1,Borzoi,0.451,0.311
346,h3k4me3,GRT,0.915,0.142
346,h3k4me3,Borzoi,0.823,0.089
346,h3k9me3,GRT,0.444,0.391
346,h3k9me3,Borzoi,0.188,0.136
